[2026-07-30 14:43:22] START cleaning
[2026-07-30 14:52:57] FILE 106/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000105.arrow
[2026-07-30 14:53:02] FILE 107/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000106.arrow
[2026-07-30 14:53:07] PROGRESS rows=413,953 kept=390,366 dropped=23,587 rows/sec=707.5
[2026-07-30 14:53:07] FILE 108/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000107.arrow
[2026-07-30 14:53:13] FILE 109/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000108.arrow
[2026-07-30 14:53:17] FILE 110/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000109.arrow
[2026-07-30 14:53:23] FILE 111/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000110.arrow
[2026-07-30 14:53:29] FILE 112/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000111.arrow
[2026-07-30 14:53:36] FILE 113/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000112.arrow
[2026-07-30 14:53:43] FILE 114/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000113.arrow
[2026-07-30 14:53:48] FILE 115/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000114.arrow
[2026-07-30 14:53:53] FILE 116/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000115.arrow
[2026-07-30 14:53:58] FILE 117/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000116.arrow
[2026-07-30 14:54:03] FILE 118/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000117.arrow
[2026-07-30 14:54:09] FILE 119/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000118.arrow
[2026-07-30 14:54:14] FILE 120/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000119.arrow
[2026-07-30 14:54:18] PROGRESS rows=464,607 kept=438,316 dropped=26,291 rows/sec=707.7
[2026-07-30 14:54:18] FILE 121/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000120.arrow
[2026-07-30 14:54:24] FILE 122/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000121.arrow
[2026-07-30 14:54:29] FILE 123/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000122.arrow
[2026-07-30 14:54:34] FILE 124/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000123.arrow
[2026-07-30 14:54:39] FILE 125/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000124.arrow
[2026-07-30 14:54:45] FILE 126/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000125.arrow
[2026-07-30 14:54:51] FILE 127/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000126.arrow
[2026-07-30 14:54:56] FILE 128/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000127.arrow
[2026-07-30 14:55:01] FILE 129/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000128.arrow
[2026-07-30 14:55:06] FILE 130/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000129.arrow
[2026-07-30 14:55:12] FILE 131/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000130.arrow
[2026-07-30 14:55:18] FILE 132/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000131.arrow
[2026-07-30 14:55:23] FILE 133/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000132.arrow
[2026-07-30 14:55:28] PROGRESS rows=515,162 kept=486,083 dropped=29,079 rows/sec=709.2
[2026-07-30 14:55:28] FILE 134/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000133.arrow
[2026-07-30 14:55:33] FILE 135/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000134.arrow
[2026-07-30 14:55:38] FILE 136/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000135.arrow
[2026-07-30 14:55:44] FILE 137/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000136.arrow
[2026-07-30 14:55:50] FILE 138/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000137.arrow
[2026-07-30 14:55:56] FILE 139/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000138.arrow
[2026-07-30 14:56:02] FILE 140/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000139.arrow
[2026-07-30 14:56:08] FILE 141/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000140.arrow
[2026-07-30 14:56:13] FILE 142/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000141.arrow
[2026-07-30 14:56:19] FILE 143/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000142.arrow
[2026-07-30 14:56:24] FILE 144/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000143.arrow
[2026-07-30 14:56:30] FILE 145/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000144.arrow
[2026-07-30 14:56:35] FILE 146/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000145.arrow
[2026-07-30 14:56:41] FILE 147/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000146.arrow
[2026-07-30 14:56:46] PROGRESS rows=569,036 kept=536,684 dropped=32,352 rows/sec=707.8
[2026-07-30 14:56:46] FILE 148/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000147.arrow
[2026-07-30 14:56:51] FILE 149/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000148.arrow
[2026-07-30 14:56:57] FILE 150/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000149.arrow
[2026-07-30 14:57:03] FILE 151/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000150.arrow
[2026-07-30 14:57:08] FILE 152/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000151.arrow
[2026-07-30 14:57:13] FILE 153/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000152.arrow
[2026-07-30 14:57:21] FILE 154/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000153.arrow
[2026-07-30 14:57:29] FILE 155/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000154.arrow
[2026-07-30 14:57:37] FILE 156/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000155.arrow
[2026-07-30 14:57:48] FILE 157/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000156.arrow
[2026-07-30 14:57:56] FILE 158/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000157.arrow
[2026-07-30 14:58:05] FILE 159/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000158.arrow
[2026-07-30 14:58:15] FILE 160/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000159.arrow
[2026-07-30 14:58:29] PROGRESS rows=620,373 kept=585,003 dropped=35,370 rows/sec=684.0
[2026-07-30 14:58:30] FILE 161/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000160.arrow
[2026-07-30 14:58:42] FILE 162/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000161.arrow
[2026-07-30 14:59:01] FILE 163/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000162.arrow
[2026-07-30 14:59:21] FILE 164/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000163.arrow
[2026-07-30 14:59:44] FILE 165/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000164.arrow
[2026-07-30 15:00:06] FILE 166/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000165.arrow
[2026-07-30 15:00:23] FILE 167/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000166.arrow
[2026-07-30 15:00:49] FILE 168/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000167.arrow
[2026-07-30 15:01:03] FILE 169/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000168.arrow
[2026-07-30 15:01:13] FILE 170/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000169.arrow
[2026-07-30 15:01:20] FILE 171/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000170.arrow
[2026-07-30 15:01:25] FILE 172/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000171.arrow
[2026-07-30 15:01:30] FILE 173/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000172.arrow
[2026-07-30 15:01:36] PROGRESS rows=671,277 kept=632,613 dropped=38,664 rows/sec=613.4
[2026-07-30 15:01:36] FILE 174/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000173.arrow
[2026-07-30 15:01:41] FILE 175/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000174.arrow
[2026-07-30 15:01:47] FILE 176/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000175.arrow
[2026-07-30 15:01:53] FILE 177/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000176.arrow
[2026-07-30 15:01:58] FILE 178/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000177.arrow
[2026-07-30 15:02:05] FILE 179/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000178.arrow
[2026-07-30 15:02:11] FILE 180/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000179.arrow
[2026-07-30 15:02:17] FILE 181/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000180.arrow
[2026-07-30 15:02:22] FILE 182/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000181.arrow
[2026-07-30 15:02:28] FILE 183/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000182.arrow
[2026-07-30 15:02:33] FILE 184/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000183.arrow
[2026-07-30 15:02:38] FILE 185/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000184.arrow
[2026-07-30 15:02:45] FILE 186/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000185.arrow
[2026-07-30 15:02:50] PROGRESS rows=721,493 kept=679,750 dropped=41,743 rows/sec=617.5
[2026-07-30 15:02:50] FILE 187/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000186.arrow
[2026-07-30 15:02:57] FILE 188/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000187.arrow
[2026-07-30 15:03:04] FILE 189/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000188.arrow
[2026-07-30 15:03:09] FILE 190/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000189.arrow
[2026-07-30 15:03:14] FILE 191/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000190.arrow
[2026-07-30 15:03:20] FILE 192/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000191.arrow
[2026-07-30 15:03:25] FILE 193/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000192.arrow
[2026-07-30 15:03:30] FILE 194/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000193.arrow
[2026-07-30 15:03:35] FILE 195/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000194.arrow
[2026-07-30 15:03:39] FILE 196/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000195.arrow
[2026-07-30 15:03:44] FILE 197/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000196.arrow
[2026-07-30 15:03:50] FILE 198/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000197.arrow
[2026-07-30 15:03:55] FILE 199/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000198.arrow
[2026-07-30 15:04:01] FILE 200/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000199.arrow
[2026-07-30 15:04:07] PROGRESS rows=775,156 kept=730,145 dropped=45,011 rows/sec=622.5
[2026-07-30 15:04:07] FILE 201/304: /workspace/asr/Palestinian-ASR/processed_qasr_segments_part2/train/shard_000200.arrow
